EmployeeID,Age,Gender,Department,JobRole,Salary,PerformanceScore,AttendanceRate,Education,JoinDate
E1000,28,Male,operations,Executive,41049,1,,Masters,2018-03-07
E1001,53,Male,Sales,Manager,71925,5,88,Bachelors,2022-04-04
E1002,42,Female,Finance,MANAGER,87731,,66,Masters,2021-05-21
E1003,50,Male,marketing,Analyst,61178,5,83,PhD,2018-05-23
E1004,39,Male,Finance,Analyst,49911,3,82,Masters,2021-12-08
E1005,59,Male,Sales,Manager,35708,3,100,Bachelors,2021-11-03
E1006,24,Male,HR,Executive,51290,2,96,Masters,2019-03-12
E1007,50,Male,IT,Manager,41162,5,97,PhD,2020-03-28
E1008,29,Female,HR,Analyst,81433,2,87,Masters,2020-02-21
E1009,37,Male,Operations,Analyst,69676,3,81,Masters,2018-11-20
E1010,37,Male,Sales,Analyst,82050,5,69,Bachelors,2021-01-09
E1011,21,Female,Marketing,Analyst,32331,3,75,Bachelors,2018-06-25
E1012,55,Male,Finance,Specialist,87052,3,98,Bachelors,2023-03-18
E1013,33,Female,Marketing,Executive,53711,4,,Bachelors,2021-04-19
E1014,21,Male,Operations,Analyst,35517,,75,Masters,2019-03-15
E1015,57,Female,Finance,SPECIALIST,77920,,87,Masters,2020-08-14
E1016,27,Male,Marketing,Executive,77467,2,94,Masters,2019-01-11
E1017,25,Female,Sales,Analyst,28315,5,65,Bachelors,2018-12-07
E1018,46,Male,Finance,Specialist,25141,3,89,PhD,2023-05-15
E1019,52,Male,Finance,Executive,39267,5,63,Bachelors,2018-04-13
E1020,54,Male,HR,ASSOCIATE,30250,1,75,PhD,2019-05-20
E1021,26,Female,Operations,Associate,62042,3,80,Masters,2018-09-26
E1022,41,Male,HR,SPECIALIST,65708,,73,Bachelors,2023-03-27
E1023,36,Female,IT,Manager,53716,3,,PhD,2019-09-06
E1024,29,Female,HR,Analyst,73655,3,73,Bachelors,2021-11-08
E1025,52,Female,HR,Analyst,66568,,81,PhD,2019-06-21
E1026,48,Male,HR,Analyst,86934,2,83,Bachelors,2020-05-30
E1027,23,Female,Finance,Manager,68708,5,86,PhD,2018-11-13
E1028,31,Male,Marketing,Analyst,36754,3,86,PhD,2022-07-19
E1029,27,Female,HR,Specialist,39577,4,74,PhD,2019-01-31
E1030,25,Female,IT,Associate,51193,5,61,Masters,2019-01-01
E1031,23,Male,Sales,Specialist,47654,3,92,PhD,2019-01-25
E1032,21,Male,IT,Specialist,29585,3,67,Masters,2020-11-04
E1033,46,Female,Sales,MANAGER,37572,4,71,Masters,2020-04-11
E1034,39,Male,Marketing,Associate,64758,4,73,PhD,2018-12-14
E1035,60,Female,HR,MANAGER,69092,2,62,Masters,2021-06-05
E1036,47,Male,Operations,Specialist,57399,2,60,Bachelors,2022-05-14
E1037,54,Female,HR,Associate,41331,1,89,PhD,2021-05-04
E1038,49,Female,Sales,Specialist,83799,4,75,Masters,2022-04-18
E1039,36,Female,Marketing,Analyst,71762,3,,Bachelors,2019-04-19
E1040,34,Male,Marketing,Specialist,46684,,86,PhD,2023-04-22
E1041,57,Female,Marketing,Analyst,86783,4,86,PhD,2021-01-23
E1042,52,Male,it,Specialist,57334,4,89,PhD,2020-12-29
E1043,57,Male,HR,Specialist,33893,,84,Masters,2019-11-01
E1044,38,Female,IT,ANALYST,59659,1,82,Bachelors,2022-05-19
E1045,22,Male,Finance,Analyst,65719,2,67,Bachelors,2020-08-10
E1046,31,Male,finance,Executive,32084,3,84,PhD,2019-02-11
E1047,36,Male,Operations,Executive,80724,1,96,Masters,2020-12-27
E1048,53,Female,HR,Specialist,78892,4,100,Masters,2021-12-19
E1049,54,Female,Sales,Associate,75766,4,97,Bachelors,2022-08-29
E1050,49,Male,Marketing,Associate,64998,,80,Bachelors,2019-12-28
E1051,59,Female,Sales,Analyst,58857,1,86,Bachelors,2021-11-15
E1052,49,Male,HR,Executive,39522,2,97,PhD,2020-12-23
E1053,56,Female,IT,Specialist,42754,2,72,PhD,2021-01-02
E1054,33,Male,Operations,Specialist,43120,5,66,Masters,2019-04-11
E1055,55,Male,IT,Analyst,88637,2,91,Bachelors,2021-03-21
E1056,42,Male,HR,Executive,86673,1,85,PhD,2021-07-13
E1057,57,Female,HR,Manager,32762,4,99,PhD,2020-02-19
E1058,58,Female,IT,ASSOCIATE,62324,2,76,Bachelors,2019-05-07
E1059,21,Female,Marketing,Associate,55796,2,78,Masters,2018-05-26
E1060,58,Male,Marketing,Analyst,60688,2,,Bachelors,2022-06-12
E1061,57,Female,Marketing,Analyst,55716,4,92,Masters,2018-06-14
E1062,41,Female,HR,ANALYST,40002,5,61,PhD,2022-08-10
E1063,32,Female,Sales,Specialist,85035,5,91,Masters,2019-12-14
E1064,27,Male,IT,Specialist,70460,4,,Bachelors,2019-10-07
E1065,46,Male,Operations,Associate,55276,2,99,PhD,2020-06-24
E1066,56,Male,IT,Specialist,82727,,100,Bachelors,2021-12-24
E1067,56,Female,HR,Manager,80142,4,69,PhD,2019-08-21
E1068,51,Female,finance,Specialist,61127,2,92,Bachelors,2022-11-05
E1069,47,Female,Sales,Executive,78666,5,91,Masters,2021-01-08
E1070,55,Female,Marketing,Executive,81990,2,74,Masters,2018-03-31
E1071,45,Female,Operations,MANAGER,57461,2,97,Bachelors,2022-11-26
E1072,50,Male,Operations,Manager,51868,,76,PhD,2020-03-25
E1073,55,Female,IT,Specialist,82172,,100,Masters,2019-04-11
E1074,27,Male,Marketing,Manager,70482,,63,Masters,2020-06-01
E1075,57,Male,Finance,Manager,30175,4,75,PhD,2018-10-21
E1076,50,Female,Operations,Analyst,83910,3,,Masters,2021-04-18
E1077,37,Female,IT,Manager,50211,1,96,Masters,2021-12-03
E1078,46,Female,HR,Associate,81693,1,91,Masters,2022-05-08
E1079,43,Male,Operations,Manager,65690,2,100,Masters,2022-06-04
E1080,29,Male,IT,Executive,73986,2,94,Masters,2020-12-23
E1081,31,Female,Marketing,Executive,73926,1,64,Bachelors,2022-10-28
E1082,46,Female,HR,Specialist,25912,1,76,PhD,2023-04-10
E1083,51,Male,Sales,Associate,46496,2,100,PhD,2019-09-11
E1084,23,Male,IT,Specialist,36417,2,83,PhD,2021-11-27
E1085,30,Female,Operations,Analyst,79636,4,,Masters,2019-03-21
E1086,44,Male,Operations,Executive,60682,,77,Bachelors,2023-04-28
E1087,34,Male,HR,Executive,40962,5,95,Bachelors,2022-07-24
E1088,30,Male,it,Manager,89718,3,67,Bachelors,2018-09-27
E1089,36,Female,HR,Manager,44288,5,64,Masters,2020-11-17
E1090,35,Male,Operations,Associate,44767,,90,Masters,2021-11-06
E1091,49,Male,HR,Executive,64865,2,100,PhD,2019-10-28
E1092,39,Female,Sales,Associate,50067,5,73,Bachelors,2020-04-27
E1093,47,Male,IT,Specialist,45481,3,,Bachelors,2018-07-10
E1094,44,Male,Sales,Analyst,63434,5,67,PhD,2023-04-12
E1095,24,Female,Sales,Executive,48045,5,90,Bachelors,2019-12-19
E1096,38,Male,Marketing,ASSOCIATE,88867,5,,PhD,2022-08-26
E1097,38,Female,IT,EXECUTIVE,25400,2,,PhD,2021-07-20
E1098,54,Male,marketing,SPECIALIST,54730,3,80,PhD,2021-05-06
E1099,31,Male,Operations,Analyst,42832,4,88,Bachelors,2022-03-27
E1100,28,Female,Operations,Associate,56891,,85,Bachelors,2018-01-16
E1101,29,Female,IT,Executive,34918,2,94,PhD,2021-02-18
E1102,25,Female,Operations,Analyst,49863,3,96,PhD,2020-05-05
E1103,41,Male,Sales,Specialist,79527,,66,PhD,2020-03-31
E1104,40,Female,Finance,Executive,76060,5,93,Masters,2019-12-21
E1105,30,Male,HR,Manager,41775,5,64,PhD,2020-10-08
E1106,58,Female,Operations,Associate,67139,5,100,Masters,2018-05-20
E1107,38,Male,IT,Associate,29862,,83,Bachelors,2021-08-13
E1108,60,Female,Marketing,Associate,61327,1,96,Masters,2021-05-24
E1109,24,Female,HR,Executive,89381,5,62,Masters,2020-06-18
E1110,44,Female,it,Specialist,51789,,100,Bachelors,2019-11-07
E1111,39,Female,Operations,Associate,82231,1,69,Masters,2023-06-05
E1112,29,Male,IT,ASSOCIATE,49686,3,,PhD,2020-05-17
E1113,40,Male,Finance,Executive,87106,2,68,Masters,2022-09-26
E1114,55,Male,Operations,Executive,82435,2,69,PhD,2022-04-29
E1115,49,Male,Marketing,Executive,69326,4,88,Bachelors,2019-09-26
E1116,33,Female,Operations,Associate,89516,3,92,Bachelors,2022-07-31
E1117,37,Male,Operations,Specialist,82286,1,93,Masters,2018-06-21
E1118,53,Male,Marketing,Analyst,87024,4,61,Masters,2020-10-25
E1119,26,Female,Finance,Analyst,45885,3,,Masters,2021-11-26
E1120,51,Female,Sales,Analyst,83559,2,95,PhD,2020-12-16
E1121,36,Female,HR,Analyst,40626,5,67,Masters,2021-05-07
E1122,57,Male,operations,Manager,44088,5,96,PhD,2021-09-30
E1123,25,Male,Marketing,Specialist,27853,3,61,Bachelors,2019-12-08
E1124,27,Female,Finance,Analyst,48088,2,89,Masters,2021-07-17
E1125,50,Male,IT,Manager,27870,1,79,PhD,2020-08-27
E1126,33,Female,IT,Analyst,81740,3,83,Masters,2022-03-03
E1127,42,Male,Marketing,Specialist,49074,5,65,Bachelors,2020-05-31
E1128,55,Female,IT,Analyst,30247,3,98,Bachelors,2021-11-13
E1129,43,Female,IT,Analyst,29917,4,70,Bachelors,2022-10-05
E1130,23,Male,HR,Manager,76020,3,,Bachelors,2021-10-22
E1131,49,Male,Sales,Manager,59698,3,75,Bachelors,2022-02-15
E1132,56,Male,it,Executive,71139,5,91,Bachelors,2022-10-13
E1133,49,Male,Operations,Executive,68767,1,78,Bachelors,2021-12-28
E1134,32,Female,Sales,Manager,32953,2,,PhD,2021-03-18
E1135,56,Male,Sales,Analyst,29308,4,86,Bachelors,2018-09-14
E1136,49,Female,Operations,Associate,47578,5,71,Bachelors,2020-06-05
E1137,28,Male,IT,Manager,35614,2,93,Bachelors,2019-05-29
E1138,38,Male,Operations,Executive,65267,5,97,Bachelors,2018-12-17
E1139,59,Female,Sales,Analyst,79082,,96,Bachelors,2022-04-20
E1140,22,Female,operations,Associate,43983,3,85,Bachelors,2021-11-11
E1141,51,Female,Finance,Executive,64758,3,82,Bachelors,2022-04-07
E1142,41,Male,Marketing,Analyst,42529,,78,PhD,2020-05-06
E1143,31,Female,sales,Executive,37440,4,89,Masters,2020-10-15
E1144,53,Female,Finance,Manager,63230,1,98,PhD,2021-10-09
E1145,27,Female,Finance,Executive,72677,4,,PhD,2019-02-03
E1146,45,Female,Sales,Executive,79087,5,66,Masters,2021-02-16
E1147,33,Female,Sales,Analyst,28425,4,69,PhD,2018-10-14
E1148,31,Female,Sales,Executive,63910,5,96,Bachelors,2020-01-25
E1149,47,Female,Operations,Analyst,64119,5,63,Bachelors,2020-12-09
E1150,45,Male,Operations,Manager,27069,1,88,Bachelors,2020-04-25
E1151,60,Female,Operations,Analyst,71253,2,90,Masters,2023-05-14
E1152,42,Female,Operations,Executive,64981,2,79,Masters,2022-04-29
E1153,52,Female,Marketing,Executive,61732,3,96,Masters,2023-01-09
E1154,30,Female,HR,Executive,87607,3,76,Bachelors,2019-02-18
E1155,56,Female,Finance,Analyst,65349,2,93,Bachelors,2018-04-18
E1156,51,Male,Operations,Manager,25339,2,90,Bachelors,2022-03-29
E1157,24,Male,Operations,Associate,40218,1,71,Bachelors,2023-03-28
E1158,46,Female,Finance,Executive,82346,5,81,PhD,2021-01-17
E1159,29,Female,IT,Manager,78006,2,76,Bachelors,2022-02-17
E1160,33,Male,Sales,Specialist,79197,,66,Bachelors,2020-09-04
E1161,37,Female,Finance,SPECIALIST,74398,3,,PhD,2020-01-07
E1162,28,Female,IT,Manager,51569,3,100,Masters,2020-01-23
E1163,29,Female,Finance,Specialist,74003,3,95,PhD,2022-07-01
E1164,36,Male,Sales,Specialist,59614,1,,PhD,2023-01-24
E1165,30,Male,IT,Associate,53956,2,,PhD,2020-07-01
E1166,53,Female,Marketing,ASSOCIATE,28783,3,85,Bachelors,2022-03-08
E1167,48,Female,Operations,Analyst,60465,1,,Masters,2019-01-04
E1168,47,Female,Marketing,Specialist,81991,4,94,Masters,2018-08-31
E1169,54,Male,Operations,Manager,75082,3,94,Masters,2022-08-14
E1170,30,Female,Finance,Analyst,27111,4,61,Bachelors,2018-07-26
E1171,24,Male,Operations,Analyst,51362,5,63,Masters,2019-04-25
E1172,41,Female,Finance,Executive,82426,5,79,PhD,2023-04-27
E1173,32,Female,Sales,Specialist,28072,4,80,Masters,2018-11-02
E1174,55,Female,Finance,Manager,44709,2,63,Masters,2021-02-15
E1175,37,Male,IT,ANALYST,85439,,,Masters,2021-10-11
E1176,25,Male,Sales,Associate,39222,3,60,Bachelors,2023-05-25
E1177,51,Male,Operations,Associate,71122,2,78,PhD,2021-08-21
E1178,53,Female,Marketing,Analyst,77613,4,80,Masters,2019-10-03
E1179,35,Male,HR,Executive,61261,5,78,Masters,2019-04-17
E1180,52,Female,IT,Specialist,88341,4,82,PhD,2021-01-24
E1181,55,Male,sales,Analyst,79989,1,86,PhD,2019-04-19
E1182,34,Female,IT,ANALYST,65490,5,,PhD,2021-02-03
E1183,38,Female,HR,Associate,78291,4,71,Bachelors,2020-12-09
E1184,54,Female,IT,Executive,77096,3,89,PhD,2019-04-08
E1185,26,Male,HR,Specialist,49855,,60,Bachelors,2020-10-20
E1186,42,Male,Sales,Analyst,40057,5,62,PhD,2023-03-11
E1187,23,Male,IT,Analyst,88010,2,85,Masters,2018-11-29
E1188,45,Female,Marketing,Manager,76806,1,,Masters,2019-04-21
E1189,60,Female,IT,Analyst,66557,4,82,Masters,2020-06-03
E1190,45,Male,Sales,Executive,77301,,69,PhD,2018-11-12
E1191,27,Male,HR,Executive,54146,3,65,Masters,2021-02-14
E1192,22,Male,it,Associate,31099,3,60,Masters,2022-05-15
E1193,36,Male,Operations,Specialist,36108,3,,Masters,2019-07-20
E1194,25,Female,IT,Manager,72244,5,89,Masters,2018-01-14
E1195,60,Female,IT,Specialist,46937,5,80,PhD,2019-02-16
E1196,46,Female,IT,Specialist,88423,2,77,Masters,2020-01-18
E1197,58,Male,Operations,Associate,26763,4,73,Masters,2022-08-30
E1198,47,Female,Finance,Executive,40861,2,,PhD,2020-09-08
E1199,47,Male,IT,ASSOCIATE,63916,1,75,Masters,2018-12-07
E1200,46,Female,Marketing,Analyst,24328,5,95,PhD,2019-03-29
E1201,58,Male,IT,Analyst,56638,4,65,PhD,2018-10-18
E1202,34,Female,it,Specialist,31397,4,,PhD,2018-08-24
E1203,27,Male,Operations,Manager,58816,2,87,Bachelors,2022-06-22
E1204,48,Female,HR,Associate,82874,5,60,Bachelors,2019-07-25
E1205,25,Male,Sales,Manager,48972,4,91,PhD,2019-10-04
E1206,58,Male,IT,Executive,80411,2,79,PhD,2018-06-23
E1207,36,Female,HR,Manager,49464,5,98,Masters,2020-05-16
E1208,32,Male,Marketing,Executive,34194,4,82,Masters,2018-10-07
E1209,56,Female,marketing,Specialist,52238,4,65,Bachelors,2019-08-22
E1210,39,Male,Marketing,Associate,73661,4,67,Masters,2022-05-07
E1211,55,Male,Operations,Specialist,60805,4,75,Bachelors,2020-07-10
E1212,26,Female,HR,Manager,38754,5,99,Bachelors,2021-06-15
E1213,34,Male,Sales,Executive,59883,5,78,Masters,2023-05-05
E1214,27,Male,Marketing,Analyst,43174,2,68,PhD,2019-10-22
E1215,46,Female,Finance,Associate,66445,4,64,Bachelors,2020-04-05
E1216,44,Female,Marketing,Executive,59665,4,82,PhD,2020-03-25
E1217,34,Female,IT,EXECUTIVE,79286,5,96,Masters,2023-01-06
E1218,27,Female,HR,Analyst,85911,4,87,PhD,2023-02-06
E1219,31,Female,HR,Executive,39120,1,79,Bachelors,2020-05-29
E1220,21,Male,Marketing,Analyst,33696,5,,Masters,2022-08-01
E1221,29,Female,HR,Manager,46782,1,79,Bachelors,2021-08-06
E1222,54,Male,Sales,Manager,53842,2,69,PhD,2021-11-07
E1223,27,Male,HR,Associate,72841,4,68,PhD,2018-06-22
E1224,59,Female,Operations,ANALYST,80567,3,98,PhD,2020-03-13
E1225,36,Female,Marketing,Analyst,40799,,60,Masters,2018-09-28
E1226,47,Female,Sales,Manager,74986,,,Bachelors,2018-03-23
E1227,46,Female,operations,ASSOCIATE,75273,,94,Bachelors,2019-07-23
E1228,34,Male,Sales,Executive,50606,1,87,Bachelors,2018-04-29
E1229,28,Female,Sales,Associate,28606,2,68,Bachelors,2020-10-13
E1230,37,Male,IT,Manager,74137,3,67,Bachelors,2019-11-18
E1231,25,Female,Operations,Associate,68582,5,91,Bachelors,2020-01-24
E1232,57,Male,Finance,Associate,20369,,83,Bachelors,2019-01-02
E1233,56,Female,Finance,EXECUTIVE,41270,3,64,Bachelors,2020-10-25
E1234,35,Male,marketing,Analyst,82474,3,79,PhD,2020-07-24
E1235,57,Female,Operations,Associate,40897,5,72,PhD,2022-04-07
E1236,47,Male,Finance,Associate,47703,1,60,Masters,2022-10-05
E1237,34,Male,Marketing,Specialist,85324,,74,PhD,2020-04-25
E1238,26,Male,Sales,Manager,66760,1,63,Bachelors,2019-04-30
E1239,46,Female,IT,Specialist,42822,2,97,Bachelors,2018-12-03
E1240,28,Female,finance,Specialist,45205,,79,PhD,2021-05-20
E1241,41,Male,HR,Manager,88465,,79,Bachelors,2018-03-05
E1242,56,Male,HR,Specialist,31678,2,63,Bachelors,2018-09-25
E1243,26,Female,hr,Analyst,29225,4,65,Masters,2018-09-08
E1244,31,Female,Operations,Specialist,59504,2,71,Masters,2022-12-15
E1245,60,Male,Operations,Executive,57695,5,65,Bachelors,2020-05-08
E1246,54,Male,Operations,Associate,78357,3,91,PhD,2020-10-25
E1247,22,Female,Sales,Manager,26920,,90,PhD,2019-04-22
E1248,36,Female,Sales,Analyst,75072,2,84,Bachelors,2018-12-27
E1249,43,Male,Operations,Executive,87099,2,72,Masters,2021-01-15
E1250,26,Male,Finance,Associate,42170,1,99,Bachelors,2019-11-29
E1251,41,Male,HR,Manager,63444,2,93,Bachelors,2020-02-05
E1252,58,Male,IT,Executive,46142,2,87,Masters,2021-08-22
E1253,56,Female,Finance,Associate,78376,3,78,PhD,2018-01-04
E1254,46,Male,Finance,ASSOCIATE,45854,5,96,Masters,2018-10-16
E1255,43,Female,Finance,Analyst,78848,3,76,PhD,2018-05-19
E1256,21,Male,Marketing,Specialist,73010,2,91,Masters,2021-01-23
E1257,57,Male,Finance,Specialist,29830,1,80,Bachelors,2018-06-01
E1258,31,Male,Sales,Analyst,47147,5,61,PhD,2018-12-04
E1259,24,Male,IT,MANAGER,88858,5,94,Masters,2019-09-02
E1260,57,Female,finance,Analyst,45082,3,100,Bachelors,2018-07-18
E1261,39,Male,Marketing,Analyst,45208,4,,PhD,2020-03-04
E1262,44,Male,Marketing,ANALYST,42255,3,77,Bachelors,2022-03-21
E1263,43,Female,Sales,Manager,62622,5,94,Masters,2021-03-18
E1264,26,Female,Operations,Analyst,57905,5,99,Masters,2018-12-21
E1265,34,Male,Finance,Analyst,54879,2,100,PhD,2019-06-13
E1266,25,Male,Marketing,Associate,51041,3,60,PhD,2021-04-18
E1267,47,Male,Finance,Associate,63530,1,96,Masters,2022-11-12
E1268,47,Female,Marketing,SPECIALIST,62488,1,85,PhD,2021-10-26
E1269,42,Male,HR,SPECIALIST,85347,,79,Masters,2022-10-24
E1270,35,Male,IT,Specialist,75726,3,98,Bachelors,2020-06-23
E1271,52,Female,HR,Associate,76871,3,85,PhD,2022-12-06
E1272,33,Male,Finance,ANALYST,55817,2,89,PhD,2023-03-06
E1273,44,Female,Sales,SPECIALIST,36638,4,82,Masters,2022-03-14
E1274,22,Female,HR,MANAGER,80956,2,74,Masters,2021-08-27
E1275,21,Female,Finance,Manager,64396,2,79,PhD,2021-08-09
E1276,43,Female,IT,Manager,55585,5,85,Bachelors,2020-11-13
E1277,44,Female,IT,Analyst,56100,3,76,PhD,2019-09-04
E1278,36,Male,Sales,Specialist,68288,2,91,Masters,2023-02-01
E1279,23,Male,IT,Manager,69978,4,82,Bachelors,2022-09-18
E1280,39,Male,marketing,Manager,73556,5,71,Masters,2021-09-02
E1281,40,Female,IT,Executive,42076,4,,PhD,2021-04-10
E1282,51,Male,Sales,Analyst,81852,5,63,Bachelors,2018-10-09
E1283,57,Female,finance,Executive,81517,1,100,Masters,2021-07-23
E1284,34,Male,Sales,Manager,57084,1,87,Masters,2020-05-28
E1285,23,Male,Operations,Executive,87542,5,60,Bachelors,2019-04-09
E1286,29,Male,Marketing,Associate,63579,1,79,Masters,2022-01-30
E1287,48,Male,IT,Specialist,48543,2,,Bachelors,2022-01-29
E1288,22,Male,hr,Executive,71603,1,100,PhD,2021-06-30
E1289,27,Male,HR,ANALYST,52313,1,90,Bachelors,2021-11-24
E1290,47,Male,Operations,Associate,42693,2,66,PhD,2018-08-30
E1291,52,Male,sales,Manager,75984,5,82,Masters,2018-11-25
E1292,34,Female,IT,Manager,21637,1,91,Bachelors,2022-05-16
E1293,27,Female,operations,Manager,54933,3,,Bachelors,2022-11-26
E1294,41,Female,Operations,Analyst,31225,,68,Bachelors,2019-11-05
E1295,60,Female,Operations,Analyst,49420,2,85,Masters,2022-09-08
E1296,47,Male,HR,Manager,70624,2,97,PhD,2021-10-21
E1297,43,Male,Operations,Manager,56659,1,,Masters,2021-09-03
E1298,54,Male,Operations,Executive,59019,,75,PhD,2021-10-17
E1299,56,Male,HR,Manager,58132,4,64,Masters,2019-05-09
E1300,53,Male,Sales,Specialist,51429,1,96,Masters,2020-07-04
E1301,22,Male,Marketing,Specialist,27348,1,98,PhD,2019-09-16
E1302,50,Female,IT,Analyst,78515,4,99,PhD,2021-09-07
E1303,27,Male,HR,Executive,48274,3,83,Bachelors,2023-01-11
E1304,47,Male,IT,Associate,37839,4,72,Bachelors,2022-03-31
E1305,58,Male,Marketing,Specialist,68152,5,,PhD,2018-04-10
E1306,58,Female,Sales,Manager,70338,2,98,Masters,2020-10-29
E1307,59,Male,IT,Specialist,88150,3,68,PhD,2021-12-04
E1308,56,Female,Operations,Associate,66456,2,78,PhD,2018-09-29
E1309,32,Female,Operations,Analyst,74858,4,86,PhD,2019-08-09
E1310,21,Male,HR,SPECIALIST,30451,2,70,PhD,2019-05-29
E1311,39,Male,Sales,Analyst,48506,1,95,PhD,2021-08-18
E1312,39,Male,Marketing,Specialist,52300,3,,Masters,2019-02-20
E1313,49,Male,operations,Executive,74486,5,72,Bachelors,2021-10-30
E1314,53,Male,Marketing,Analyst,53082,3,97,Bachelors,2019-11-08
E1315,23,Male,IT,Associate,28332,5,79,PhD,2021-01-31
E1316,41,Male,Finance,Associate,29468,2,94,Masters,2019-03-30
E1317,42,Female,IT,Manager,87279,5,95,PhD,2018-01-19
E1318,36,Male,HR,Executive,49993,1,94,Bachelors,2023-02-10
E1319,53,Female,Marketing,Analyst,44427,2,65,Bachelors,2023-06-13
E1320,21,Male,Finance,MANAGER,81685,1,87,Bachelors,2022-03-10
E1321,42,Male,HR,Analyst,28556,3,96,Masters,2020-04-14
E1322,48,Female,hr,Specialist,69125,1,,PhD,2021-04-14
E1323,43,Male,IT,Executive,66921,4,61,PhD,2019-03-27
E1324,55,Female,Operations,MANAGER,44533,3,60,PhD,2018-10-17
E1325,59,Female,Sales,Associate,85502,3,92,Bachelors,2019-03-29
E1326,28,Male,operations,Associate,84845,4,64,Bachelors,2019-05-29
E1327,52,Female,IT,Manager,68994,1,64,Masters,2020-09-22
E1328,40,Male,Sales,Associate,48887,4,80,Bachelors,2021-12-29
E1329,44,Male,Operations,EXECUTIVE,82533,4,79,Bachelors,2018-12-26
E1330,38,Male,Sales,Manager,42251,1,61,PhD,2018-03-05
E1331,58,Male,HR,Associate,42079,5,69,Bachelors,2022-12-31
E1332,39,Male,Marketing,Associate,59411,,75,PhD,2021-11-02
E1333,49,Male,Finance,Associate,87174,2,90,Bachelors,2019-03-25
E1334,37,Female,Finance,Analyst,68816,3,89,Bachelors,2021-08-21
E1335,54,Female,Operations,Executive,62921,2,84,PhD,2023-01-14
E1336,45,Male,Sales,Specialist,48127,3,90,Bachelors,2020-10-24
E1337,35,Male,Sales,Executive,38861,2,67,Masters,2022-07-20
E1338,51,Female,Finance,Associate,35567,,62,PhD,2018-11-26
E1339,57,Male,HR,Manager,41925,5,98,PhD,2018-02-08
E1340,39,Male,Finance,Specialist,64749,4,86,PhD,2022-08-08
E1341,53,Female,Finance,Executive,85447,,84,Bachelors,2018-02-03
E1342,53,Female,Finance,Associate,31311,5,94,Bachelors,2018-07-10
E1343,59,Male,Operations,Specialist,59212,1,87,Masters,2022-06-06
E1344,57,Male,Marketing,MANAGER,41680,2,65,PhD,2020-04-16
E1345,21,Male,Sales,Analyst,49577,3,66,PhD,2021-04-13
E1346,48,Female,Sales,Executive,89998,2,95,Masters,2021-02-19
E1347,40,Female,Operations,Specialist,73220,1,88,Bachelors,2018-07-25
E1348,42,Male,finance,Specialist,88214,1,90,Masters,2018-06-30
E1349,26,Male,Operations,Specialist,85993,5,78,PhD,2018-04-28
E1157,24,Male,Operations,Associate,40218,1,71,Bachelors,2023-03-28
E1341,53,Female,Finance,Executive,85447,,84,Bachelors,2018-02-03
E1315,23,Male,IT,Associate,28332,5,79,PhD,2021-01-31
E1234,35,Male,marketing,Analyst,82474,3,79,PhD,2020-07-24
E1155,56,Female,Finance,Analyst,65349,2,93,Bachelors,2018-04-18
E1274,22,Female,HR,MANAGER,80956,2,74,Masters,2021-08-27
E1304,47,Male,IT,Associate,37839,4,72,Bachelors,2022-03-31
E1227,46,Female,operations,ASSOCIATE,75273,,94,Bachelors,2019-07-23
E1278,36,Male,Sales,Specialist,68288,2,91,Masters,2023-02-01
E1185,26,Male,HR,Specialist,49855,,60,Bachelors,2020-10-20
E1075,57,Male,Finance,Manager,30175,4,75,PhD,2018-10-21
E1124,27,Female,Finance,Analyst,48088,2,89,Masters,2021-07-17
E1168,47,Female,Marketing,Specialist,81991,4,94,Masters,2018-08-31
E1126,33,Female,IT,Analyst,81740,3,83,Masters,2022-03-03
E1173,32,Female,Sales,Specialist,28072,4,80,Masters,2018-11-02
E1039,36,Female,Marketing,Analyst,71762,3,,Bachelors,2019-04-19
E1297,43,Male,Operations,Manager,56659,1,,Masters,2021-09-03
E1077,37,Female,IT,Manager,50211,1,96,Masters,2021-12-03
E1056,42,Male,HR,Executive,86673,1,85,PhD,2021-07-13
E1118,53,Male,Marketing,Analyst,87024,4,61,Masters,2020-10-25
